"LAYER1_OID","LAYER_1_TAX_CODE","LAYER1","LAYER2_OID","LAYER_2_TAX_CODE","LAYER2","LAYER3_OID","LAYER_3_TAX_CODE","LAYER3"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000359","H0.060.110","Event organisation and management"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000341","H0.060.050","Garden and landscape maintenance"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000356","H0.060.080","Investigation services"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000352","H0.060.010","Recruitment agencies and personnel supply"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000360","H0.060.130","Scientific research and development"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000353","H0.060.020","Secretarial and PA services"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000357","H0.060.090","Security services"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000354","H0.060.030","Translation services"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000299","G0.010.050","Travel agency services"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000355","H0.060.070","Vending machine supply and servicing"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000313","H0.010.010","Accountancy"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000320","H0.010.080","Asset management"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000316","H0.010.040","Consumer credit broking"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000322","H0.010.100","Currency exchange"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000324","H0.010.120","Financial consultancy"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000314","H0.010.020","Financial leasing"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000321","H0.010.090","Independent financial advice"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000317","H0.010.050","Life insurance broking"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000318","H0.010.060","Non-life insurance broking"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000323","H0.010.110","Payroll provision"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000319","H0.010.070","Securities broking"
"1000311","H0","Professional and business services","1000312","H0.010","Financial services","1000315","H0.010.030","Specialist credit provision"
"1000311","H0","Professional and business services","1000325","H0.020","Legal services","1000329","H0.020.040","Arbitration and conciliation services"
"1000311","H0","Professional and business services","1000325","H0.020","Legal services","1000331","H0.020.060","Bailiff services"
"1000311","H0","Professional and business services","1000325","H0.020","Legal services","1000326","H0.020.010","Barrister services"
"1000311","H0","Professional and business services","1000325","H0.020","Legal services","1082797751","H0.020.080","Claims management"
"1000311","H0","Professional and business services","1000325","H0.020","Legal services","1000332","H0.020.070","Holding company management"
"1000311","H0","Professional and business services","1000325","H0.020","Legal services","1000330","H0.020.050","Insolvency services"
"1000311","H0","Professional and business services","1000325","H0.020","Legal services","1000328","H0.020.030","Patent and copyright agent services"
"1000311","H0","Professional and business services","1000325","H0.020","Legal services","1000327","H0.020.020","Solicitor services"
"1000311","H0","Professional and business services","1000333","H0.030","Management consultancy","1000334","H0.030.010","General management consultancy"
"1000311","H0","Professional and business services","1000333","H0.030","Management consultancy","1000335","H0.030.020","Health and safety consultancy"
"1000311","H0","Professional and business services","1000333","H0.030","Management consultancy","1000336","H0.030.030","Trade and export consultancy"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000049","C0.030.010","Architectural services"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000339","H0.040.020","Chartered surveying"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000342","H0.060.060","Cleaning services"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1080185236","H0.040.060","Energy assessment"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000338","H0.040.010","Estate agency services"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000341","H0.060.050","Garden and landscape maintenance"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000050","C0.030.020","Landscape design services"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000344","H0.040.050","Letting of own property"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000343","H0.040.040","Property development"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000340","H0.040.030","Property management services"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000052","C0.030.040","Quantity surveying"
"1000311","H0","Professional and business services","1000337","H0.040","Real estate services","1000051","C0.030.030","Urban planning services"
"1000311","H0","Professional and business services","1000361","H0.070","Waste management and environmental services","1000366","H0.070.050","Environmental consultancy"
"1000311","H0","Professional and business services","1000361","H0.070","Waste management and environmental services","1000365","H0.070.040","Metal waste and scrap recycling"
"1000311","H0","Professional and business services","1000361","H0.070","Waste management and environmental services","1000364","H0.070.030","Non-metal waste and scrap recycling"
"1000311","H0","Professional and business services","1000361","H0.070","Waste management and environmental services","1000046","C0.020.140","Other specialised construction activities"
"1000311","H0","Professional and business services","1000361","H0.070","Waste management and environmental services","1000362","H0.070.010","Waste collection"
"1000311","H0","Professional and business services","1000361","H0.070","Waste management and environmental services","1000363","H0.070.020","Waste treatment and disposal"
"1000218","F0","Retail, hire and repair","1000287","F0.100","Arts, antiques and second-hand goods retail","1000291","F0.100.040","Antiques repair and restoration"
"1000218","F0","Retail, hire and repair","1000287","F0.100","Arts, antiques and second-hand goods retail","1000290","F0.100.030","Antiques retail"
"1000218","F0","Retail, hire and repair","1000287","F0.100","Arts, antiques and second-hand goods retail","1000288","F0.100.010","Art and craft retail"
"1000218","F0","Retail, hire and repair","1000287","F0.100","Arts, antiques and second-hand goods retail","1000289","F0.100.020","Art and craft supplies retail"
"1000218","F0","Retail, hire and repair","1000287","F0.100","Arts, antiques and second-hand goods retail","1000292","F0.100.050","Second-hand goods retail"
"1000218","F0","Retail, hire and repair","1000268","F0.070","Books, stationery and gifts retail","1000290","F0.100.030","Antiques retail"
"1000218","F0","Retail, hire and repair","1000268","F0.070","Books, stationery and gifts retail","1000269","F0.070.010","Books, newspapers and magazines retail"
"1000218","F0","Retail, hire and repair","1000268","F0.070","Books, stationery and gifts retail","1000272","F0.070.040","Flower retail"
"1000218","F0","Retail, hire and repair","1000268","F0.070","Books, stationery and gifts retail","1000271","F0.070.030","Greeting card, gift and party goods retail"
"1000218","F0","Retail, hire and repair","1000268","F0.070","Books, stationery and gifts retail","1000270","F0.070.020","Stationery retail"
"1000218","F0","Retail, hire and repair","1000231","F0.020","Clothing, footwear and accessories retail, hire and repair","1000232","F0.020.010","Adult clothing and accessories retail and repair"
"1000218","F0","Retail, hire and repair","1000231","F0.020","Clothing, footwear and accessories retail, hire and repair","1000233","F0.020.020","Childrens clothing and baby goods retail"
"1000218","F0","Retail, hire and repair","1000231","F0.020","Clothing, footwear and accessories retail, hire and repair","1000236","F0.020.050","Clothing hire"
"1000218","F0","Retail, hire and repair","1000231","F0.020","Clothing, footwear and accessories retail, hire and repair","1000234","F0.020.030","Footwear retail"
"1000218","F0","Retail, hire and repair","1000231","F0.020","Clothing, footwear and accessories retail, hire and repair","1000235","F0.020.040","Leather products retail"
"1000218","F0","Retail, hire and repair","1000247","F0.040","Electric and electronic appliance retail, hire and repair","1000252","F0.040.060","Audio-visual equipment hire"
"1000218","F0","Retail, hire and repair","1000247","F0.040","Electric and electronic appliance retail, hire and repair","1000251","F0.040.050","Audio-visual equipment repair"
"1000218","F0","Retail, hire and repair","1000247","F0.040","Electric and electronic appliance retail, hire and repair","1000250","F0.040.040","Audio-visual equipment retail"
"1000218","F0","Retail, hire and repair","1000247","F0.040","Electric and electronic appliance retail, hire and repair","1000254","F0.040.080","Computers and electronic office equipment repair"
"1000218","F0","Retail, hire and repair","1000247","F0.040","Electric and electronic appliance retail, hire and repair","1000253","F0.040.070","Computers and electronic office equipment retail"
"1000218","F0","Retail, hire and repair","1000247","F0.040","Electric and electronic appliance retail, hire and repair","1000249","F0.040.030","Electric appliance repair"
"1000218","F0","Retail, hire and repair","1000247","F0.040","Electric and electronic appliance retail, hire and repair","1000248","F0.040.020","Electric appliance retail"
"1000218","F0","Retail, hire and repair","1000247","F0.040","Electric and electronic appliance retail, hire and repair","1000241","F0.040.010","Electric lighting equipment retail"
"1000218","F0","Retail, hire and repair","1000247","F0.040","Electric and electronic appliance retail, hire and repair","1000255","F0.040.090","Telecommunication equipment retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000228","F0.010.090","Alcoholic drink retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000224","F0.010.050","Bakery product retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000225","F0.010.060","Chocolate and confectionery retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000227","F0.010.080","Delicatessens"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000229","F0.010.100","Food, drink and tobacco retail not in stores, stalls or markets"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000221","F0.010.020","Fruit and vegetable retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000220","F0.010.010","General food retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000226","F0.010.070","Health food and supplements retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000222","F0.010.030","Meat, poultry and game retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1079032255","F0.010.120","Other food retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1080395669","F0.010.130","Retail trade in stalls and markets"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000223","F0.010.040","Seafood retail"
"1000218","F0","Retail, hire and repair","1000219","F0.010","Food, drink and tobacco retail","1000230","F0.010.110","Tobacco and tobacco products retail"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1000244","F0.030.060","Building materials and supplies retail"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1000246","F0.030.080","Catering equipment hire"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1000241","F0.040.010","Electric lighting equipment retail"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1000239","F0.030.020","Furniture repair and restoration"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1000238","F0.030.010","Furniture retail"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1000245","F0.030.070","Garden equipment and supplies retail"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1000243","F0.030.050","Hardware products retail"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1000240","F0.030.030","Home furnishings retail"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1000242","F0.030.040","Picture framing services"
"1000218","F0","Retail, hire and repair","1000237","F0.030","Home and garden products retail, hire and repair","1080395610","F0.030.090","Repair of personal and household goods"
"1000218","F0","Retail, hire and repair","1000273","F0.080","Jewellery, watch and clock retail and repair","1000275","F0.080.020","Engraving services"
"1000218","F0","Retail, hire and repair","1000273","F0.080","Jewellery, watch and clock retail and repair","1000274","F0.080.010","Jewellery, watches and clocks retail and repair"
"1000218","F0","Retail, hire and repair","1000256","F0.050","Motor vehicle and fuel retail, hire and repair","1000262","F0.050.060","Motor vehicle fuel retail"
"1000218","F0","Retail, hire and repair","1000256","F0.050","Motor vehicle and fuel retail, hire and repair","1000261","F0.050.050","Motor vehicle hire"
"1000218","F0","Retail, hire and repair","1000256","F0.050","Motor vehicle and fuel retail, hire and repair","1000260","F0.050.040","Motor vehicle maintenance and repair"
"1000218","F0","Retail, hire and repair","1000256","F0.050","Motor vehicle and fuel retail, hire and repair","1000259","F0.050.030","Motor vehicle parts and accessories retail"
"1000218","F0","Retail, hire and repair","1000256","F0.050","Motor vehicle and fuel retail, hire and repair","1000257","F0.050.010","New motor vehicle retail"
"1000218","F0","Retail, hire and repair","1000256","F0.050","Motor vehicle and fuel retail, hire and repair","1000258","F0.050.020","Used motor vehicle retail"
"1000218","F0","Retail, hire and repair","1087646568","F0.120","Non store retail","1087646602","F0.120.010","Itinerant street trading"
"1000218","F0","Retail, hire and repair","1087646568","F0.120","Non store retail","1087647779","F0.120.020","Retail sale via mail order houses or via the internet"
"1000218","F0","Retail, hire and repair","1000263","F0.060","Pharmaceuticals, health and beauty products retail","1000265","F0.060.020","Beauty and toilet products retail"
"1000218","F0","Retail, hire and repair","1000263","F0.060","Pharmaceuticals, health and beauty products retail","1000264","F0.060.010","Chemist supplies retail"
"1000218","F0","Retail, hire and repair","1000263","F0.060","Pharmaceuticals, health and beauty products retail","1000267","F0.060.040","Marital aids retail"
"1000218","F0","Retail, hire and repair","1000263","F0.060","Pharmaceuticals, health and beauty products retail","1000432","L0.010.070","Optician services"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000277","F0.090.010","Bicycle and bicycle parts retail"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000284","F0.090.080","Camping and outdoor equipment retail"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000280","F0.090.040","Guns and ammunition retail"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000281","F0.090.050","Musical instrument retail and repair"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000286","F0.090.100","Party supplies hire"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000285","F0.090.090","Pets and pet supplies retail"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000279","F0.090.030","Saddlery and tack retail and repair"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000278","F0.090.020","Sports equipment retail"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000282","F0.090.060","Toys, games and collectables retail"
"1000218","F0","Retail, hire and repair","1000276","F0.090","Sports and recreation goods retail, hire and repair","1000283","F0.090.070","Video, DVD and computer game rental"
"1000137","E0","Wholesale","1000138","E0.010","Agricultural materials wholesale","1000139","E0.010.010","Agricultural materials wholesale"
"1000137","E0","Wholesale","1000138","E0.010","Agricultural materials wholesale","1000140","E0.010.020","Agricultural materials wholesale agents"
"1000137","E0","Wholesale","1000212","E0.150","Arts, sports and recreation goods wholesale","1000213","E0.150.010","Bicycle and bicycle parts wholesale"
"1000137","E0","Wholesale","1000212","E0.150","Arts, sports and recreation goods wholesale","1000217","E0.150.050","Camping and outdoor equipment wholesale"
"1000137","E0","Wholesale","1000212","E0.150","Arts, sports and recreation goods wholesale","1000215","E0.150.030","Musical instrument wholesale"
"1000137","E0","Wholesale","1000212","E0.150","Arts, sports and recreation goods wholesale","1000214","E0.150.020","Sports equipment wholesale"
"1000137","E0","Wholesale","1000212","E0.150","Arts, sports and recreation goods wholesale","1000216","E0.150.040","Toys, games and collectables wholesale"
"1000137","E0","Wholesale","1000204","E0.130","Books, stationery and gifts wholesale","1000205","E0.130.010","Books, newspapers and magazines wholesale"
"1000137","E0","Wholesale","1000204","E0.130","Books, stationery and gifts wholesale","1000207","E0.130.030","Greeting card, gift and party goods wholesale"
"1000137","E0","Wholesale","1000204","E0.130","Books, stationery and gifts wholesale","1000206","E0.130.020","Paper and stationery wholesale"
"1000137","E0","Wholesale","1000173","E0.080","Building materials and hardware wholesale","1000174","E0.080.010","Building materials wholesale"
"1000137","E0","Wholesale","1000173","E0.080","Building materials and hardware wholesale","1000178","E0.080.050","Explosives wholesale"
"1000137","E0","Wholesale","1000173","E0.080","Building materials and hardware wholesale","1000177","E0.080.040","Glass building products wholesale"
"1000137","E0","Wholesale","1000173","E0.080","Building materials and hardware wholesale","1000175","E0.080.020","Hardware products wholesale"
"1000137","E0","Wholesale","1000173","E0.080","Building materials and hardware wholesale","1000176","E0.080.030","Wallpaper and paint wholesale"
"1000137","E0","Wholesale","1000162","E0.060","Clothing, footwear and accessories wholesale","1000163","E0.060.010","Adults clothing and accessories wholesale"
"1000137","E0","Wholesale","1000162","E0.060","Clothing, footwear and accessories wholesale","1000164","E0.060.020","Childrens clothing and baby goods wholesale"
"1000137","E0","Wholesale","1000162","E0.060","Clothing, footwear and accessories wholesale","1000165","E0.060.030","Footwear wholesale"
"1000137","E0","Wholesale","1000162","E0.060","Clothing, footwear and accessories wholesale","1000166","E0.060.040","Leather products wholesale"
"1000137","E0","Wholesale","1000197","E0.120","Cosmetics, medicinal and chemical products wholesale","1000202","E0.120.045","Agrochemicals wholesale"
"1000137","E0","Wholesale","1000197","E0.120","Cosmetics, medicinal and chemical products wholesale","1000199","E0.120.020","Beauty and toilet products wholesale"
"1000137","E0","Wholesale","1000197","E0.120","Cosmetics, medicinal and chemical products wholesale","1000203","E0.120.050","Chemical products wholesale agents"
"1000137","E0","Wholesale","1000197","E0.120","Cosmetics, medicinal and chemical products wholesale","1000198","E0.120.010","Chemist supplies wholesale"
"1000137","E0","Wholesale","1000197","E0.120","Cosmetics, medicinal and chemical products wholesale","1000201","E0.120.040","Cleaning compound wholesale"
"1000137","E0","Wholesale","1000197","E0.120","Cosmetics, medicinal and chemical products wholesale","1000200","E0.120.030","Optical products wholesale"
"1000137","E0","Wholesale","1000179","E0.090","Electric and electronic equipment wholesale","1000181","E0.090.030","Audio-visual equipment wholesale"
"1000137","E0","Wholesale","1000179","E0.090","Electric and electronic equipment wholesale","1000182","E0.090.040","Computer, software and peripherals wholesale"
"1000137","E0","Wholesale","1000179","E0.090","Electric and electronic equipment wholesale","1000180","E0.090.020","Electric appliance wholesale"
"1000137","E0","Wholesale","1000179","E0.090","Electric and electronic equipment wholesale","1000169","E0.090.010","Electric lighting equipment wholesale"
"1000137","E0","Wholesale","1000179","E0.090","Electric and electronic equipment wholesale","1000183","E0.090.050","Electronic office equipment and supplies wholesale"
"1000137","E0","Wholesale","1000179","E0.090","Electric and electronic equipment wholesale","1000185","E0.090.070","Recording media wholesale"
"1000137","E0","Wholesale","1000179","E0.090","Electric and electronic equipment wholesale","1000184","E0.090.060","Telecommunications equipment wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000159","E0.050.090","Alcoholic drink wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000155","E0.050.050","Bakery products wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000152","E0.050.020","Dairy products and egg wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000151","E0.050.010","Fruit and vegetable wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000158","E0.050.080","Health food and supplements wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000153","E0.050.030","Meat and meat products wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000157","E0.050.070","Other food wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000154","E0.050.040","Seafood wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000160","E0.050.100","Soft drink wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000156","E0.050.060","Sugar and confectionery wholesale"
"1000137","E0","Wholesale","1000150","E0.050","Food, drink and tobacco wholesale","1000161","E0.050.110","Tobacco products wholesale"
"1000137","E0","Wholesale","1000208","E0.140","Jewellery, watches and clocks wholesale","1000209","E0.140.010","Jewellery wholesale"
"1000137","E0","Wholesale","1000208","E0.140","Jewellery, watches and clocks wholesale","1000210","E0.140.020","Precious stones wholesale"
"1000137","E0","Wholesale","1000208","E0.140","Jewellery, watches and clocks wholesale","1000211","E0.140.030","Watches and clocks wholesale"
"1000137","E0","Wholesale","1000186","E0.100","Machinery wholesale","1000188","E0.100.020","Agricultural machinery wholesale"
"1000137","E0","Wholesale","1000186","E0.100","Machinery wholesale","1000190","E0.100.040","Construction machinery wholesale"
"1000137","E0","Wholesale","1000186","E0.100","Machinery wholesale","1000187","E0.100.010","Engine and turbine wholesale"
"1000137","E0","Wholesale","1000186","E0.100","Machinery wholesale","1000191","E0.100.050","Guns and ammunition wholesale"
"1000137","E0","Wholesale","1000186","E0.100","Machinery wholesale","1000193","E0.100.070","Other machinery wholesale"
"1000137","E0","Wholesale","1000186","E0.100","Machinery wholesale","1000189","E0.100.030","Power tool wholesale"
"1000137","E0","Wholesale","1000186","E0.100","Machinery wholesale","1000192","E0.100.060","Printing machinery wholesale"
"1000137","E0","Wholesale","1000144","E0.030","Metal and metal ores wholesale","1000145","E0.030.010","Metal and metal ores wholesale"
"1000137","E0","Wholesale","1000144","E0.030","Metal and metal ores wholesale","1000146","E0.030.020","Metal and metal ores wholesale agents"
"1000137","E0","Wholesale","1000194","E0.110","Motor vehicle and parts wholesale","1000196","E0.110.020","Motor vehicle parts and accessories wholesale"
"1000137","E0","Wholesale","1000194","E0.110","Motor vehicle and parts wholesale","1000195","E0.110.010","Motor vehicles wholesale"
"1000137","E0","Wholesale","1000147","E0.040","Petroleum and fuel products wholesale","1000148","E0.040.010","Petroleum and fuel products wholesale"
"1000137","E0","Wholesale","1000147","E0.040","Petroleum and fuel products wholesale","1000149","E0.040.020","Petroleum and fuel products wholesale agents"
"1000137","E0","Wholesale","1000167","E0.070","Textiles, furniture and furnishings wholesale","1000171","E0.070.030","China, glassware and crockery wholesale"
"1000137","E0","Wholesale","1000167","E0.070","Textiles, furniture and furnishings wholesale","1000169","E0.090.010","Electric lighting equipment wholesale"
"1000137","E0","Wholesale","1000167","E0.070","Textiles, furniture and furnishings wholesale","1000168","E0.070.010","Furniture wholesale"
"1000137","E0","Wholesale","1000167","E0.070","Textiles, furniture and furnishings wholesale","1000172","E0.070.040","Garden equipment and supplies wholesale"
"1000137","E0","Wholesale","1000167","E0.070","Textiles, furniture and furnishings wholesale","1000170","E0.070.020","Textiles wholesale"
"1000137","E0","Wholesale","1000141","E0.020","Timber and timber products wholesale","1000142","E0.020.010","Timber and timber products wholesale"
"1000137","E0","Wholesale","1000141","E0.020","Timber and timber products wholesale","1000143","E0.020.020","Timber and timber products wholesale agents"
