"SECTOR_OID","SECTOR","BUSINESSACT_ID","ACTIVITY_TITLE","LICENCE_OID","LICENCE","REGULATION_AREA","DA_ENGLAND","DA_SCOTLAND","DA_WALES","DA_NIRELAND","ALL_OF_UK"
"1000036","Electrical installation and repair","1003","Offer credit to your customers","1074534964","Registration with the Financial Services Authority (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000039","Damp proofing","1003","Offer credit to your customers","1074534868","Consumer Credit Licence (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000042","Glazing","1003","Offer credit to your customers","1074534964","Registration with the Financial Services Authority (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000172","Garden equipment and supplies wholesale","1003","Offer credit to your customers","1074534964","Registration with the Financial Services Authority (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000174","Building materials wholesale","1003","Offer credit to your customers","1074534964","Registration with the Financial Services Authority (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000240","Home furnishings retail","1003","Offer credit to your customers","1074534964","Registration with the Financial Services Authority (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000315","Specialist credit provision","1003","Offer credit to your customers","1074534868","Consumer Credit Licence (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000317","Life insurance broking","1003","Offer credit to your customers","1074534964","Registration with the Financial Services Authority (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000318","Non-life insurance broking","1003","Offer credit to your customers","1074534964","Registration with the Financial Services Authority (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000319","Securities broking","1003","Offer credit to your customers","1074534868","Consumer Credit Licence (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000404","Book publishing","1003","Offer credit to your customers","1074534964","Registration with the Financial Services Authority (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000437","Veterinary services","1003","Offer credit to your customers","1074534868","Consumer Credit Licence (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000499","Fitness centre operation","1003","Offer credit to your customers","1074534868","Consumer Credit Licence (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000475","Primary education","1018","Offer special educational needs (SEN) teaching or support services","1087626122","Special needs school approval (Wales)","Education","0","0","1","0","0"
"1000029","Residential building construction","1019","Operate as a building inspector","1084114240","Building Inspector approval (England and Wales)","Construction and property","1","0","1","0","0"
"1000049","Architectural services","1019","Operate as a building inspector","1084114240","Building Inspector approval (England and Wales)","Construction and property","1","0","1","0","0"
"1000300","Tour operator services","1020","Provide tourist services - e.g. accommodation","1084062846","Tourist accommodation certification (Northern Ireland)","Hospitality, leisure and entertainment","0","0","0","1","0"
"1000412","Camping sites","1020","Provide tourist services - e.g. accommodation","1084062846","Tourist accommodation certification (Northern Ireland)","Hospitality, leisure and entertainment","0","0","0","1","0"
"1000332","Holding company management","1021","Operate as a landlord","1086428523","Social Housing Provider Registration","Social and welfare","1","0","0","0","0"
"1000340","Property management services","1021","Operate as a landlord","1084062744","Private landlord registration (Scotland)","Housing","0","1","0","0","0"
"1000338","Estate agency services","1021","Operate as a landlord","1086428523","Social Housing Provider Registration","Social and welfare","1","0","0","0","0"
"1000344","Letting of own property","1021","Operate as a landlord","1086428523","Social Housing Provider Registration","Social and welfare","1","0","0","0","0"
"1000476","Secondary education","1022","Carry out school inspections","1084176990","Authorisation to inspect independent schools (Wales)","Education","0","0","1","0","0"
"1000476","Secondary education","1022","Carry out school inspections","1084176966","Authorisation to inspect independent schools (England)","Education","1","0","0","0","0"
"1000452","Retirement homes","1023","Offer or operate social housing","1086428523","Social Housing Provider Registration","Social and welfare","1","0","0","0","0"
"1000314","Financial leasing","1025","Operate a business subject to money laundering requirements","1081626771","Money laundering registration (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000490","Ticket agencies","1025","Operate a business subject to money laundering requirements","1081626771","Money laundering registration (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000299","Travel agency services","1025","Operate a business subject to money laundering requirements","1081626771","Money laundering registration (All UK)","Professional, legal and financial services","1","1","1","1","0"
"1000007","Pig farming","1026","Burn heather and grass","1081315934","Heather and grass burning licence (England)","Animals and plants","1","0","0","0","0"
"1000152","Dairy products and egg wholesale","1027","Certify refrigerated trucks or lorries","1084130268","ATP certification (All UK)","Food hygiene","1","1","1","1","0"
"1000154","Seafood wholesale","1027","Certify refrigerated trucks or lorries","1084130268","ATP certification (All UK)","Food hygiene","1","1","1","1","0"
"1000005","Cattle farming","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1084146413","PCB holding registration (Scotland)","Environment and waste","0","1","0","0","0"
"1000005","Cattle farming","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000024","Electricity supply","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000029","Residential building construction","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1084146413","PCB holding registration (Scotland)","Environment and waste","0","1","0","0","0"
"1000045","Building exterior cleaning","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1084146413","PCB holding registration (Scotland)","Environment and waste","0","1","0","0","0"
"1000084","Petrol manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1084146413","PCB holding registration (Scotland)","Environment and waste","0","1","0","0","0"
"1000092","Cleaning compound manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000095","Glass building products manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000097","Stone and slate products manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1084146413","PCB holding registration (Scotland)","Environment and waste","0","1","0","0","0"
"1000104","Engine and turbine manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000108","Guns and ammunition manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000113","Motor vehicle parts manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000124","Electronic office equipment manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000125","Telecommunications equipment manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1084146413","PCB holding registration (Scotland)","Environment and waste","0","1","0","0","0"
"1000362","Waste collection","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000440","Hospitals","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000342","Cleaning services","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000254","Computers and electronic office equipment repair","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000222","Meat, poultry and game retail","1029","Operate an egg packing centre","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000455","Social work","1044","Offer adult placement or day care services","1083733152","Support services providing day care to adults registration (Scotland)","Social and welfare","0","1","0","0","0"
"1000440","Hospitals","1044","Offer adult placement or day care services","1084062891","Adult placement scheme registration (England)","Social and welfare","1","0","0","0","0"
"1000363","Waste treatment and disposal","1045","Produce, store or dispose of ozone-depleting substances","1083742890","Pollution prevention and control permit - Part A (Scotland)","Environment and waste","0","1","0","0","0"
"1000081","Printing","1045","Produce, store or dispose of ozone-depleting substances","1084063281","Pollution Inventory reporting (England and Wales)","Environment and waste","1","0","1","0","0"
"1000081","Printing","1045","Produce, store or dispose of ozone-depleting substances","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000085","Agrochemicals manufacturing","1045","Produce, store or dispose of ozone-depleting substances","1083742893","Pollution prevention and control permit - Part B (Scotland)","Environment and waste","0","1","0","0","0"
"1000085","Agrochemicals manufacturing","1045","Produce, store or dispose of ozone-depleting substances","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000086","Explosives manufacturing","1045","Produce, store or dispose of ozone-depleting substances","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
"1000088","Plastic products manufacturing","1045","Produce, store or dispose of ozone-depleting substances","1075328601","Discharge of trade effluent permit (England, Wales &amp; Northern Ireland)","Environment and waste","1","0","1","1","0"
